strain	contig_count	N50	largest_contig	ST	virulence_score	resistance_score	num_resistance_classes	num_resistance_genes	Yersiniabactin	YbST	Colibactin	CbST	aerobactin	salmochelin	hypermucoidy	wzi	KL	Chr_ST	gapA	infB	mdh	pgi	phoE	rpoB	tonB	ybtS	ybtX	ybtQ	ybtP	ybtA	irp2	irp1	ybtU	ybtT	ybtE	fyuA	clbA	clbB	clbC	clbD	clbE	clbF	clbG	clbH	clbI	clbL	clbM	clbN	clbO	clbP	clbQ	AGly	Col	Fcyn	Flq	Gly	MLS	Phe	Rif	Sul	Tet	Tmt	Bla	Bla_Carb	Bla_ESBL	Bla_ESBL_inhR	Bla_broad	Bla_broad_inhR
ERR474467	130	309177	769298	ST76	1	0	7	10	ybt 16; ICEKp12	277-2LV	-	0	-	-	-	wzi39	KL39 (KL13)	ST76	4	1	1	1	21	1	35	6*	15	5	4	11	245	23	2	11	4	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	AadA5;Aac3-IId*	-	-	ParC-80A;ParC-84N	-	MphA	CatA1*;CatB3*	-	SulI	TetB*	DfrA17	AmpH*;SHV-59*;OXA-1	-	-	-	-	-
ERR474468	105	326071	1138302	ST16	0	1	8	11	-	0	-	0	-	-	-	wzi50	"KL15 (KL17,KL51,KL52)"	ST16	2	1	2	1	4	4	4	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	AadA2*;Aph3-Ia*	-	-	GyrA-83F;GyrA-87N	-	MphA	CatB4?	-	SulI	TetA;TetR	DfrA12	SHV-145*;AmpH*;TEM-105*;OXA-1	-	CTX-M-15	-	-	-
ERR474469	149	346219	723960	ST101	1	1	2	2	ybt 9; ICEKp3	172-1LV	-	0	-	-	-	wzi137	KL17	ST101	2	6	1	5	4	1	6	5	11	6	5	1	25	78	9	5	5	11	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Aac3-IIa*	-	-	-	-	-	-	-	-	-	-	AmpH*	-	CTX-M-15	-	-	-
ERR474470	189	280008	1018037	ST874	0	1	9	15	-	0	-	0	-	-	-	wzi222	KL45	ST874	4	1	1	1	7	1	22	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	AadA5;Aac3-IIa*;StrB?;StrA?;Aph3-Ia*	-	-	GyrA-83Y;GyrA-87N	-	MphA	CatB4?	-	SulI;SulII*	TetD	DfrA17	AmpH*;TEM-105*;OXA-1	-	CTX-M-15	-	SHV-1?	-
ERR474474	185	217149	1017887	ST874-1LV	0	1	7	13	-	0	-	0	-	-	-	wzi222	KL45	ST874-1LV	4	1	1	1	7*	1	22	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	AadA2*;StrB;StrA;Aac3-IIa*;Aph3-Ia*	-	-	GyrA-83Y;GyrA-87N	-	MphA	CatB4?	-	SulI;SulII	-	DfrA12	SHV-121;AmpH*;TEM-105*;OXA-1	-	CTX-M-15	-	-	-
ERR474475	203	160529	351894	ST252	0	0	2	3	-	0	-	0	-	-	-	wzi104	KL51	ST252	2	5	1	1	9	1	6	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	ParC-80A;ParC-84N	-	-	-	-	-	-	-	AmpH*	-	-	-	SHV-1?	-
ERR474476	155	286709	1126040	ST874-1LV	0	1	7	14	-	0	-	0	-	-	-	wzi222	KL45	ST874-1LV	4	1	1	1	7*	1	22	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	AadA2*;StrB;StrA;Aac3-IIa*;Aph3-Ia*	-	-	GyrA-83Y;GyrA-87N	-	MphA	-	-	SulI;SulII	TetA;TetR	DfrA12	AmpH*;SHV-121;TEM-105*	-	CTX-M-15	-	-	-
ERR474477	188	284289	872424	ST340	0	1	7	9	-	0	-	0	-	-	-	wzi50	"KL15 (KL17,KL51,KL52)"	ST340	3	3	1	1	1	1	18	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	AadA2;Aac3-IIa*	-	-	ParC-80I	-	-	CatB4?;CatA1*	-	SulI	-	DfrA30*	AmpH*;TEM-105*;OXA-1	-	CTX-M-15*	-	SHV-11	-
ERR474478	157	204127	484555	ST15	0	1	6	9	-	0	-	0	-	-	-	wzi24	"KL24 (KL54,KL55)"	ST15	1	1	1	1	1	1	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	AadA2*;StrB;StrA	-	-	GyrA-83F;GyrA-87A	-	-	CatA1*	-	SulI	-	DfrA12	AmpH*	-	SHV-106*	-	-	-
ERR474479	169	352698	803776	ST336	1	0	4	6	ybt 15; ICEKp11	230	-	0	-	-	-	wzi141	KL25	ST336	2	1	1	1	72	4	4	6	15	22	4	1	37	34	14	1	4	17	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	StrB;StrA*;Aph3-Ia*	-	-	-	-	MphA	-	-	SulII*	-	DfrA14	AmpH*;SHV-94*;TEM-105*	-	-	-	-	-
